degree,frequency
1,444
2,475
3,400
4,389
5,355
6,318
7,326
8,278
9,297
10,262
11,288
12,266
13,260
14,208
15,211
16,205
17,194
18,177
19,155
20,165
21,142
22,148
23,126
24,123
25,119
26,130
27,105
28,127
29,105
30,112
31,89
32,81
33,85
34,74
35,85
36,76
37,75
38,71
39,62
40,69
41,58
42,59
43,52
44,46
45,51
46,59
47,47
48,41
49,35
50,32
51,33
52,35
53,45
54,31
55,32
56,22
57,32
58,26
59,17
60,25
61,25
62,26
63,21
64,27
65,25
66,20
67,25
68,15
69,19
70,19
71,21
72,19
73,10
74,13
75,25
76,16
77,9
78,12
79,15
80,16
81,15
82,13
83,10
84,9
85,15
86,20
87,10
88,12
89,9
90,7
91,13
92,8
93,8
94,7
95,11
96,11
97,7
98,6
99,8
100,6
101,8
102,6
103,5
104,2
105,6
106,4
107,9
108,7
109,4
110,5
111,3
112,7
113,8
114,7
115,4
116,6
117,7
118,5
119,7
120,6
121,3
122,5
123,5
124,5
125,3
126,5
127,1
128,6
129,5
130,6
131,2
132,3
133,2
134,8
135,4
136,7
137,2
138,2
139,2
140,2
141,1
142,1
143,2
144,4
145,2
146,3
148,3
149,6
150,3
151,4
152,2
153,2
154,3
155,1
156,2
157,3
158,2
160,2
162,4
163,1
164,2
166,1
167,1
168,2
169,1
170,1
171,3
173,4
174,2
175,1
176,2
177,3
178,1
181,1
183,2
184,2
187,1
188,2
189,2
190,3
191,2
192,1
194,2
195,1
196,3
197,2
199,1
200,1
201,2
203,3
205,1
207,4
209,2
210,1
213,2
214,3
215,1
216,1
217,1
220,1
222,1
224,1
225,1
227,1
228,1
230,1
234,2
235,1
246,3
247,2
250,2
251,1
252,1
254,1
255,2
259,1
261,1
262,1
264,1
269,3
270,1
273,3
276,1
278,1
279,1
282,1
283,1
286,1
287,1
291,2
293,2
295,2
297,1
300,2
304,1
306,2
307,1
308,1
310,2
312,1
320,1
325,1
329,2
331,1
332,1
335,2
336,1
337,2
338,1
340,2
341,3
342,1
349,1
357,1
359,1
369,1
372,1
374,2
375,1
384,1
387,1
396,1
404,1
408,1
410,1
412,1
413,1
420,1
423,1
429,1
432,1
435,1
436,1
450,1
466,1
468,1
473,1
474,1
488,1
490,1
491,1
500,1
514,1
516,1
540,2
546,2
573,1
581,1
586,1
643,1
645,1
646,1
648,1
670,1
723,1
734,1
760,1
810,1
825,1
886,1
893,1
930,1
932,1
951,1
974,1
987,1
1017,1
1020,1
1125,1
1246,1
1257,1
1324,1
1333,1
1357,1
1433,1
1716,1
1825,1
4259,1
--------
NetFileName=My_DataFilesPy/musae_DE_pr.ed, NumEdges=153138
